A_Lat,A_Lon,A_R,A_Sat,B_Lat,B_Lon,B_R,B_Sat,C_Lat,C_Lon,C_R,C_Sat,Roll,Pitch,Yaw,Ax,Ay,Az,Gx,Gy,Gz,Timestamp
24.150247,120.7027505,2.43,5,24.1500505,120.70254083,1.87,5,24.15013083,120.7026215,99.99,0,108.31,28.11,104.05,16.23,28.98,9.05,74.55,133.06,41.55,2025-09-30T13:12:55.748058
24.15024417,120.7027485,2.43,5,24.150051,120.70254033,1.87,5,24.15013083,120.7026215,2.43,3,108.31,26.71,104.05,16.89,28.91,7.03,77.53,132.77,32.30,2025-09-30T13:12:55.952934
24.15024267,120.70274817,2.43,5,24.150051,120.70254017,1.87,5,24.15012817,120.70262617,2.43,3,108.31,26.71,105.46,16.96,28.40,14.93,77.89,130.41,68.57,2025-09-30T13:12:56.156992
24.150241,120.70274717,2.43,5,24.15005117,120.70253983,1.87,5,24.15012817,120.70262617,2.43,3,109.72,26.71,105.46,17.00,29.12,10.84,78.08,133.70,49.76,2025-09-30T13:12:56.358813
24.15023867,120.70274617,2.43,5,24.15005133,120.70253967,1.87,5,24.150129,120.70262017,2.43,3,109.72,25.30,105.46,17.21,29.04,13.93,79.05,133.33,63.94,2025-09-30T13:12:56.561925
24.150237,120.70274533,2.43,5,24.15005133,120.70253933,1.87,5,24.150129,120.70261717,2.43,3,108.31,25.30,106.86,16.44,28.66,16.57,75.50,131.59,76.11,2025-09-30T13:12:56.765276
24.150235,120.702744,2.43,5,24.1500515,120.70253917,1.87,5,24.150129,120.70261717,2.43,3,109.72,21.08,106.86,18.54,29.18,9.41,85.15,134.00,43.20,2025-09-30T13:12:56.968065
24.15023567,120.702745,2.43,5,24.15005167,120.70253867,1.87,5,24.15012967,120.70261433,2.43,3,105.50,22.49,106.86,16.68,27.92,16.85,76.59,128.18,77.39,2025-09-30T13:12:57.171617
24.15023333,120.70274367,2.43,5,24.15005167,120.70253867,1.87,5,24.15012967,120.70261433,2.43,3,104.10,23.90,106.86,17.06,28.59,11.49,78.32,131.30,52.75,2025-09-30T13:12:57.377002
24.150233,120.70274367,2.43,5,24.15005167,120.7025385,1.87,5,24.15013,120.70261333,2.43,3,106.91,25.30,108.27,16.85,29.41,12.65,77.38,135.06,58.07,2025-09-30T13:12:57.582943
24.150218,120.702728,1.51,6,24.150052,120.70253817,1.87,5,24.15013,120.70261333,2.43,3,105.50,25.30,108.27,16.72,27.85,15.35,76.78,127.90,70.47,2025-09-30T13:12:57.789474
24.15020883,120.70271833,1.51,6,24.150052,120.702538,1.87,5,24.15013017,120.702613,2.43,3,104.10,25.30,108.27,17.12,28.89,12.05,78.61,132.66,55.33,2025-09-30T13:12:57.993459
24.15020133,120.70271,1.51,6,24.15005233,120.70253783,1.87,5,24.15013,120.70261317,2.43,3,108.31,28.11,108.27,15.57,30.03,12.48,71.51,137.90,57.30,2025-09-30T13:12:58.197755
24.1501955,120.70270367,1.51,6,24.1500525,120.70253767,1.87,5,24.15013,120.70261317,2.43,3,102.69,40.77,98.43,17.41,20.32,18.30,79.95,93.28,84.03,2025-09-30T13:12:58.402312
24.1501915,120.702699,1.51,6,24.15005233,120.70253767,1.87,5,24.15013,120.70261367,2.43,3,106.91,43.58,95.61,16.48,27.52,16.30,75.67,126.36,74.86,2025-09-30T13:12:58.607478
24.15018967,120.70269733,1.51,6,24.15005283,120.7025375,1.87,5,24.15013,120.70261367,2.43,3,130.81,61.86,97.02,14.04,24.66,20.39,64.47,113.24,93.62,2025-09-30T13:12:58.810580
24.15018767,120.70269567,1.51,6,24.15005283,120.7025375,1.87,5,24.1501305,120.702611,2.43,3,104.10,40.77,99.83,18.38,25.40,16.65,84.39,116.61,76.45,2025-09-30T13:12:59.016043
24.1501855,120.7026935,1.51,6,24.15005283,120.70253733,1.87,5,24.1501305,120.702611,2.43,3,101.28,40.77,99.83,15.96,27.83,18.56,73.28,127.78,85.21,2025-09-30T13:12:59.220266
24.15018383,120.70269183,1.51,6,24.150053,120.70253717,1.87,5,24.15012417,120.70262417,2.43,3,101.28,47.80,101.24,15.87,24.76,19.02,72.89,113.72,87.36,2025-09-30T13:12:59.422802
24.15018117,120.70268917,1.51,6,24.15005317,120.70253683,1.87,5,24.1501325,120.70260417,2.43,3,102.69,44.99,101.24,15.40,28.91,14.20,70.73,132.77,65.19,2025-09-30T13:12:59.826045
24.15018033,120.70268817,1.51,6,24.15005333,120.7025365,1.87,5,24.15013517,120.7025975,2.43,3,163.16,78.74,99.83,18.29,24.65,13.02,84.00,113.17,59.78,2025-09-30T13:13:00.029087
24.15017967,120.70268767,1.51,6,24.15005333,120.7025365,1.87,5,24.150135,120.702597,2.43,3,170.19,73.11,98.43,16.44,19.76,18.62,75.49,90.76,85.50,2025-09-30T13:13:00.231514
24.15017983,120.7026875,1.51,6,24.15005367,120.70253583,1.87,5,24.1501345,120.70259733,2.43,3,189.88,87.18,92.80,18.14,21.71,21.44,83.30,99.71,98.45,2025-09-30T13:13:00.634926
24.1501795,120.702687,1.51,6,24.15005367,120.70253583,1.87,5,24.15013383,120.7025975,2.43,3,136.44,59.05,88.58,21.18,21.88,20.59,97.26,100.48,94.56,2025-09-30T13:13:00.837445
24.1501795,120.702687,1.51,6,24.15005367,120.7025355,1.87,5,24.1501335,120.7025975,2.43,3,157.53,56.24,77.33,19.37,22.45,21.70,88.94,103.10,99.65,2025-09-30T13:13:01.041098
24.15017917,120.70268633,1.51,6,24.15005383,120.70253533,1.87,5,24.1501335,120.7025975,2.43,3,105.50,43.58,54.83,16.72,18.59,18.28,76.80,85.36,83.95,2025-09-30T13:13:01.244633
24.15017917,120.70268617,1.51,6,24.15005383,120.70253533,1.87,5,24.15013133,120.70259983,2.43,3,109.72,64.68,4.21,15.84,28.21,19.18,72.72,129.55,88.08,2025-09-30T13:13:01.448347
24.15017917,120.70268617,1.51,6,24.15005317,120.70253517,1.87,5,24.15013133,120.70259983,2.43,3,97.06,64.68,337.49,14.58,27.99,18.82,66.95,128.52,86.43,2025-09-30T13:13:01.652744
24.150178,120.702685,1.51,6,24.150053,120.702535,1.87,5,24.150133,120.70259483,2.43,3,78.78,54.83,330.46,16.39,30.79,13.74,75.27,141.37,63.09,2025-09-30T13:13:01.856979
24.1501775,120.702684,1.51,6,24.15005283,120.70253483,1.87,5,24.15013367,120.702592,2.43,3,52.06,53.43,323.43,15.22,28.84,12.84,69.88,132.41,58.95,2025-09-30T13:13:02.059318
24.1501775,120.702684,1.51,6,24.1500525,120.70253467,1.87,5,24.15013367,120.702592,2.43,3,40.81,52.02,314.99,16.43,28.12,16.04,75.44,129.12,73.67,2025-09-30T13:13:02.263479
24.15017533,120.702682,1.51,6,24.15005233,120.7025345,1.87,5,24.15013367,120.702592,2.43,3,49.25,50.61,310.77,15.24,28.08,12.95,69.96,128.94,59.48,2025-09-30T13:13:02.468120
