A_Lat,A_Lon,A_Alt,A_Spd,A_Crs,A_R,A_Sat,A_HDOP,A_NSatView,B_Lat,B_Lon,B_Alt,B_Spd,B_Crs,B_R,B_Sat,B_HDOP,B_NSatView,C_Lat,C_Lon,C_Alt,C_Spd,C_Crs,C_R,C_Sat,C_HDOP,C_NSatView,Fused_Lat,Fused_Lon,Corrected_Lat,Corrected_Lon,Roll,Pitch,Yaw,Ax,Ay,Az,Gx,Gy,Gz,Timestamp
24.15365617,120.70381017,113.8,0.5,0.0,5.45,9,1.09,0,24.1536335,120.70389667,147.4,0.185,0.0,6.949999999999999,7,1.39,0,24.153761,120.7039005,120.4,0.333,0.0,6.949999999999999,7,1.39,0,24.153676253888275,120.70385339582722,24.153676253888275,120.70385339582722,158.94,284.05,298.08,19.14,22.35,19.36,87.89,102.63,88.90,2025-10-09T17:23:42.920329
24.15365633,120.70381033,113.7,0.37,0.0,5.45,9,1.09,0,24.1536335,120.70389667,147.9,0.185,0.0,6.949999999999999,8,1.39,0,24.153761,120.70390067,120.0,0.315,0.0,6.949999999999999,8,1.39,0,24.15367770101342,120.70385646673816,24.15367659887547,120.70385412350467,146.28,281.24,302.30,19.31,21.17,21.23,88.68,97.22,97.48,2025-10-09T17:23:43.125712
24.1536565,120.70381,113.7,0.074,0.0,5.45,9,1.09,0,24.15363333,120.70389683,147.9,0.167,0.0,6.949999999999999,8,1.39,14,24.153761,120.70390083,120.0,0.241,0.0,6.949999999999999,8,1.39,0,24.15366947830369,120.70386391369891,24.153675283929726,120.70385616499742,149.10,282.65,300.89,19.53,23.82,20.67,89.68,109.37,94.93,2025-10-09T17:23:43.327950
24.15365667,120.7038095,113.7,0.685,0.0,5.45,9,1.09,0,24.15363317,120.70389717,147.9,0.204,0.0,6.949999999999999,8,1.39,14,24.15376117,120.70390017,119.9,0.13,0.0,6.949999999999999,8,1.39,0,24.15366951678029,120.70386371447564,24.153674091850608,120.70385792343055,144.88,278.43,293.86,14.04,21.07,22.23,64.47,96.76,102.09,2025-10-09T17:23:43.530368
24.15365717,120.70380933,113.7,0.111,0.0,5.45,9,1.09,0,24.153633,120.70389717,147.9,0.074,0.0,6.949999999999999,8,1.39,14,24.15376133,120.7039,120.0,0.111,0.0,5.05,8,1.01,0,24.153684313516315,120.70386942301228,24.15367634719606,120.70386116743917,150.50,281.24,284.02,17.37,21.05,22.33,79.75,96.68,102.55,2025-10-09T17:23:43.733264
24.1536575,120.70380967,113.6,0.13,0.0,5.45,9,1.09,0,24.15363283,120.70389767,147.9,0.222,0.0,6.949999999999999,8,1.39,14,24.15376133,120.7039,119.9,0.167,0.0,6.949999999999999,8,1.39,0,24.153669738052812,120.70386394372763,24.15367501849371,120.70386242935054,171.60,289.68,222.14,21.32,21.95,20.39,97.89,100.78,93.64,2025-10-09T17:23:43.936133
24.1536575,120.70380967,113.4,0.13,0.0,5.45,9,1.09,0,24.15363283,120.70389767,147.9,0.222,0.0,6.949999999999999,8,1.39,14,24.15376167,120.7038995,119.9,0.278,0.0,6.949999999999999,8,1.39,0,24.153669810324256,120.7038638374461,24.15367377071871,120.70386343660499,174.41,303.74,143.39,14.87,18.24,21.04,68.27,83.77,96.60,2025-10-09T17:23:44.138553
24.15365767,120.70381,113.4,0.093,0.0,5.45,9,1.09,0,24.15363267,120.70389767,147.9,0.278,0.0,6.949999999999999,8,1.39,14,24.15376167,120.70389933,119.8,0.556,0.0,6.949999999999999,7,1.39,0,24.1536673053605,120.70386296336574,24.153672064878474,120.70386399203497,175.81,296.71,66.05,15.23,20.81,20.88,69.95,95.57,95.89,2025-10-09T17:23:44.341128
24.15365767,120.70381,113.3,0.241,0.0,5.45,9,1.09,0,24.15363267,120.70389733,148.0,0.148,0.0,6.949999999999999,8,1.39,14,24.15376183,120.70389867,119.9,0.407,0.0,6.949999999999999,7,1.39,0,24.153667335931615,120.70386269805212,24.15367060101344,120.70386432339785,174.41,302.33,40.74,20.51,20.22,24.02,94.16,92.83,110.28,2025-10-09T17:23:44.543576
24.15365783,120.70381033,113.4,0.296,0.0,5.45,9,1.09,0,24.1536325,120.7038975,148.0,0.315,0.0,6.949999999999999,8,1.39,14,24.15376167,120.70389833,120.0,0.185,0.0,6.949999999999999,7,1.39,0,24.153667299675973,120.70386283452605,24.15366937609285,120.70386457093765,165.97,291.08,32.30,19.06,19.11,21.44,87.50,87.75,98.45,2025-10-09T17:23:44.746107
